date,close,ticker,event_date,days_from_event,company,drug
2025-01-15,424.260009765625,VRTX,2025-01-30,-15,Vertex Pharmaceuticals,Journavx
2025-01-16,416.9599914550781,VRTX,2025-01-30,-14,Vertex Pharmaceuticals,Journavx
2025-01-17,422.0,VRTX,2025-01-30,-13,Vertex Pharmaceuticals,Journavx
2025-01-21,427.8900146484375,VRTX,2025-01-30,-9,Vertex Pharmaceuticals,Journavx
2025-01-22,428.0,VRTX,2025-01-30,-8,Vertex Pharmaceuticals,Journavx
2025-01-23,439.7300109863281,VRTX,2025-01-30,-7,Vertex Pharmaceuticals,Journavx
2025-01-24,439.6199951171875,VRTX,2025-01-30,-6,Vertex Pharmaceuticals,Journavx
2025-01-27,443.8800048828125,VRTX,2025-01-30,-3,Vertex Pharmaceuticals,Journavx
2025-01-28,440.67999267578125,VRTX,2025-01-30,-2,Vertex Pharmaceuticals,Journavx
2025-01-29,441.5199890136719,VRTX,2025-01-30,-1,Vertex Pharmaceuticals,Journavx
2025-01-30,438.3999938964844,VRTX,2025-01-30,0,Vertex Pharmaceuticals,Journavx
2025-01-31,461.67999267578125,VRTX,2025-01-30,1,Vertex Pharmaceuticals,Journavx
2025-02-03,470.3699951171875,VRTX,2025-01-30,4,Vertex Pharmaceuticals,Journavx
2025-02-04,482.2799987792969,VRTX,2025-01-30,5,Vertex Pharmaceuticals,Journavx
2025-02-05,488.44000244140625,VRTX,2025-01-30,6,Vertex Pharmaceuticals,Journavx
2025-02-06,481.1600036621094,VRTX,2025-01-30,7,Vertex Pharmaceuticals,Journavx
2025-02-07,469.32000732421875,VRTX,2025-01-30,8,Vertex Pharmaceuticals,Journavx
2025-02-10,469.9700012207031,VRTX,2025-01-30,11,Vertex Pharmaceuticals,Journavx
2025-02-11,455.2200012207031,VRTX,2025-01-30,12,Vertex Pharmaceuticals,Journavx
2025-02-12,453.20001220703125,VRTX,2025-01-30,13,Vertex Pharmaceuticals,Journavx
2025-02-13,462.5799865722656,VRTX,2025-01-30,14,Vertex Pharmaceuticals,Journavx
2025-01-02,127.6762466430664,AZN,2025-01-17,-15,AstraZeneca,Datroway
2025-01-03,128.39332580566406,AZN,2025-01-17,-14,AstraZeneca,Datroway
2025-01-06,129.5367431640625,AZN,2025-01-17,-11,AstraZeneca,Datroway
2025-01-07,129.14913940429688,AZN,2025-01-17,-10,AstraZeneca,Datroway
2025-01-08,129.03285217285156,AZN,2025-01-17,-9,AstraZeneca,Datroway
2025-01-10,129.86622619628906,AZN,2025-01-17,-7,AstraZeneca,Datroway
2025-01-13,127.38555908203125,AZN,2025-01-17,-4,AstraZeneca,Datroway
2025-01-14,126.68787384033203,AZN,2025-01-17,-3,AstraZeneca,Datroway
2025-01-15,127.28865814208984,AZN,2025-01-17,-2,AstraZeneca,Datroway
2025-01-16,129.6724090576172,AZN,2025-01-17,-1,AstraZeneca,Datroway
2025-01-17,129.07162475585938,AZN,2025-01-17,0,AstraZeneca,Datroway
2025-01-21,131.70730590820312,AZN,2025-01-17,4,AstraZeneca,Datroway
2025-01-22,132.1724395751953,AZN,2025-01-17,5,AstraZeneca,Datroway
2025-01-23,132.94764709472656,AZN,2025-01-17,6,AstraZeneca,Datroway
2025-01-24,133.83914184570312,AZN,2025-01-17,7,AstraZeneca,Datroway
2025-01-27,135.81590270996094,AZN,2025-01-17,10,AstraZeneca,Datroway
2025-01-28,134.8662872314453,AZN,2025-01-17,11,AstraZeneca,Datroway
2025-01-29,136.14537048339844,AZN,2025-01-17,12,AstraZeneca,Datroway
2025-01-30,138.06398010253906,AZN,2025-01-17,13,AstraZeneca,Datroway
