company,ticker,drug,approval_date,indication
Vertex Pharmaceuticals,VRTX,Journavx,2025-01-30,Non-opioid treatment for moderate-to-severe acute pain
AstraZeneca,AZN,Datroway,2025-01-17,HR-positive HER2-negative breast cancer
GSK,GSK,Blujepa,2025-03-25,Uncomplicated urinary tract infections
Sanofi,SNY,Qfitlia,2025-03-28,Hemophilia A/B bleed prevention
Novartis,NVS,Vanrafia,2025-04-02,IgA nephropathy
Johnson & Johnson,JNJ,Imaavy,2025-04-29,Generalized myasthenia gravis
AbbVie,ABBV,Emrelis,2025-05-14,Non-small cell lung cancer
Nuvation Bio,NUVB,Ibtrozi,2025-06-11,ROS1-positive non-small cell lung cancer
Regeneron,REGN,Lynozyfic,2025-07-02,Relapsed/refractory multiple myeloma
Insmed,INSM,Brinsupri,2025-08-12,Non-cystic fibrosis bronchiectasis
Merck,MRK,Keytruda Qlex,2025-09-19,Solid tumor indications (subcutaneous pembrolizumab)
Eli Lilly,LLY,Inluriyo,2025-09-25,ER-positive HER2-negative breast cancer
Kura Oncology,KURA,Komzifti,2025-11-13,Relapsed/refractory acute myeloid leukemia
Arrowhead Pharmaceuticals,ARWR,Redemplo,2025-11-18,Familial chylomicronemia syndrome
Cytokinetics,CYTK,Myqorzo,2025-12-19,Obstructive hypertrophic cardiomyopathy
